,N°,CODE,LIBELLE,AE,CP
118,151,131,GOUVERNANCE ET APPUI DU INSTITUTIONNEL MINISTERE DES POSTES ET TELECOMMUNICATIONS,3369399,3389399
119,152,132,SECURISATION DE L'ECOSYSTEME NATIONAL OU NUMERIQUE,921044,921044
120,153,153,"DEVELOPPEMENT DES TRANSPORTS ROUTIERS, DE L'INTERMODALITE ET DE LA SECURITE ROUTIERE",6328500,6382500
121,164,154,DEVELOPPEMENT DU TRANSPORT AERIEN ET REGULATION DE L'AVIATION CIVILE,916500,916500
122,155,155,"DEVELOPPEMENT DU TRANSPORT MARITIME, FLUVIAL, LACUSTRE ET DES ACTIVITES PORTUAIRES",82850000,82850000
123,156,156,DEVELOPPEMENT DU TRANSPORT FERROVIAIRE,3352000,3352000
124,157,157,"DEVELOPPEMENT ET MODERNISATION DES SYSTEMES DE COLLECTE, DE PRODUCTION ET DE VULGARISATION DES",944500,944500
125,158,158,INFORMATIONS METEOROLOGIQUES GOUVERNANCE ET APPUI INSTITUTIONNEL AU SOUS- SECTEUR DES TRANSPORTS,2998500,2998500
126,160,083,DESARMEMENT DES COMBATTANTS ET DEMOBILISATION REINTEGRATION DES EX- COMBATTANTS,772000,772000
127,163,040,FCFA) LIBELLE AMELIORATION DE LA GESTION DES RESSOURCES HUMAINES DE L'ETAT,5973118,5973118
128,164,041,MODERNISATION DES SERVICES PUBLICS,3894183,3894183
129,185,042,GOUVERNANCE ET APPUI INSTITUTIONNEL AU MINFOPRA,5225699,5225699
130,166,081,"ORGANISATION, GESTION ET SUPERVISION DU E.T SYSTÈME ÉLECTORAL RÉFERENDAIRE AU wélectoral",3654000,3654000
131,167,183,wélectoral CAMEROUN GOUVERNANCE ET APPUI INSTITUTIONNEL DE ELECAM,9299130,8779000
132,168,084,PROMOTION DES DROITS DE L'HOMME,453100,453100
133,170,086,PROTECTION DES DROITS DE L'HOMME PRÉVENTION DE LA TORTURE,357900,357900
134,171,190,GOUVERNANCE ET APPUI INSTITUTIONNEL,3525000,3525000
135,172,177,A CONTRIBUTION LA CONSOLIDATION DU CONTRÔLE PARLEMENTAIRE DE L'ACTION,4200000,4200000
136,173,178,FCFA) LIBELLE GOUVERNANCE ET APPUI INSTITUTIONNEL DES SERVICES DU SENAT,11962000,11962000
137,174,181,GOUVERNANCE ET APPUI INSTITUTIONNEL DE LA CNPBM,3058000,3058000
138,175,200,PENSIONS,269668000,269668000
139,176,199,REMBOURSEMENT DE LA DETTE PUBLIQUE EXTERIEURE,825000000,825000000
140,177,203,LA REMBOURSEMENT DE DETTE ·PUBLIQUE engagements INTERIEURE vis-à-vis,947300000,947300000
141,178,202,Contribuer SUBVENTIONS ET fonctionnement . CONTRIBUTIONS organismes établissements,445896000,445896000
142,179,201,Couvrir DEPENSES COMMUNES DE réparties FONCTIONNEMENT fonctionnement,304853000,304853000
143,180,198,PARTICIPATION DE L'ETAT DANS LES ENTREPRISES Couvrir PARAPUBLIQUES ET participation PRIVEES,30000000,30000000
144,181,196,REHABILITATION ET Assurer RESTRUCTURATION DES et ENTREPRISES PUBIQUES sociétés,10000000,10000000
145,182,195,Couvrir INTERVENTIONS EN réparties INVESTISSEMENT fonctionnement,104624085,104624085
